,0
0,0.51
1,0.51
2,0.51
3,0.51
4,0.01
5,0.51
6,0.51
7,1.01
8,1.01
9,1.01
10,1.01
11,1.01
12,1.01
13,1.01
14,1.01
15,1.01
16,1.01
17,1.01
18,1.01
19,1.01
20,1.01
21,1.01
22,1.01
23,1.01
24,1.01
25,1.01
26,1.01
27,1.01
28,1.01
29,1.01
30,1.01
31,0.51
32,0.01
33,0.01
34,0.51
35,0.51
36,0.51
37,0.51
38,0.51
39,1.01
40,0.51
41,0.51
42,0.51
43,0.51
44,1.01
45,0.01
46,1.01
47,0.51
48,1.01
49,0.51
50,0.51
51,0.51
52,1.01
53,0.51
54,1.01
55,0.51
56,0.51
57,0.01
58,1.01
59,1.01
60,0.51
61,0.51
62,1.01
63,0.51
64,0.51
65,1.01
66,0.51
67,0.51
68,0.51
69,0.51
70,0.51
71,0.51
72,0.51
73,0.51
74,0.51
75,0.01
76,0.51
77,1.01
78,0.01
79,1.01
80,0.51
81,1.01
82,0.51
83,0.01
84,0.51
85,0.51
86,0.51
87,0.51
88,1.01
89,0.01
90,0.01
91,0.01
92,0.51
93,0.01
94,0.01
95,0.01
96,0.51
97,0.51
98,0.01
99,0.51
100,0.51
101,0.51
102,0.01
103,0.01
104,0.51
105,1.01
106,1.01
107,1.01
108,1.01
109,0.01
110,1.01
111,0.51
112,0.51
113,0.51
114,0.51
115,0.51
116,0.51
117,0.51
118,0.51
119,0.51
120,0.51
121,0.01
122,0.51
123,0.51
124,0.51
125,0.51
126,0.51
127,0.51
128,0.51
129,0.51
130,0.51
131,0.51
132,0.51
133,1.01
134,0.51
135,1.01
136,0.51
137,1.01
138,0.51
139,0.51
140,0.01
141,0.51
142,0.51
143,0.01
144,0.51
145,0.51
146,0.51
147,0.01
148,0.51
149,0.51
150,0.01
151,0.51
152,0.51
153,0.51
154,0.51
155,0.51
156,0.01
157,0.01
158,0.51
159,0.51
160,0.01
161,0.01
162,0.51
163,0.51
164,0.51
165,0.51
166,0.51
167,0.51
168,0.51
169,0.51
170,0.51
171,0.51
172,0.51
173,0.51
174,0.51
175,1.01
176,0.51
177,1.01
178,0.51
179,0.51
180,0.51
181,0.51
182,0.51
183,0.51
184,0.51
185,0.51
186,0.51
187,0.51
188,1.01
189,0.51
190,0.01
191,1.01
192,0.01
193,0.51
194,1.01
195,1.01
196,1.01
197,1.01
198,0.51
199,0.51
200,1.01
201,1.01
202,0.51
203,0.51
204,0.51
205,0.01
206,1.01
207,0.51
208,1.01
209,1.01
210,1.01
211,1.01
212,0.51
213,1.01
214,0.51
215,0.51
216,1.01
217,0.51
218,0.51
219,1.01
220,1.01
221,1.01
222,1.01
223,1.01
224,1.01
225,1.01
226,1.01
227,0.51
228,0.51
229,0.51
230,0.51
231,0.51
232,0.51
233,0.51
234,0.51
235,0.51
236,0.51
237,0.51
238,0.51
239,0.51
240,0.51
241,0.51
242,0.51
243,0.51
244,1.01
245,1.01
246,1.01
247,1.01
248,0.51
249,1.01
250,1.01
251,1.01
252,1.01
253,1.01
254,1.01
255,1.01
256,1.01
257,1.01
258,1.01
259,1.01
260,1.01
261,1.01
262,1.01
263,1.01
264,1.01
265,1.01
266,0.51
267,0.51
268,0.51
269,0.51
270,0.51
271,0.51
272,0.51
273,0.51
274,0.51
275,0.51
276,0.51
277,0.51
278,1.01
279,1.01
280,1.01
281,1.01
282,1.01
283,1.01
284,1.01
285,1.01
286,1.01
287,1.01
288,1.01
289,1.01
