"uuid","created_at","last_updated","title","description","translation_status","native_name","native_about","address","geolocation","main_photo_url","inventory_supplier","external_id","food_chain","website","rating","number_of_reviews","categories_list","external_city_name","city_id","native_language"
"8996e8de-5b06-464d-ad11-fd64068de76c",2022-03-28 13:15:50.548 +0300,2022-03-28 09:28:56.668 +0300,"An Nam - Sushi, Vietnamese & Thai Cuisine",,,,,"Gotzkowskystraße 10, 10555 Berlin, Germany",POINT (13.3298961 52.5254249),https://lh5.googleusercontent.com/p/AF1QipNktHoWMQgoPemCDwWuX0eJ1jCt68kYMQiOrjK0=w732-h552-k-no,Google Places,ChIJkfpuFhJRqEcRF5zoEE44Xtg,,https://www.annam-sushi.de/,4.0,531,"'{""Restaurant""}'",Berlin,219,
"1b9b6220-c2c0-49b1-8dbc-f3a51bca63aa",2022-03-28 13:15:50.548 +0300,2022-03-28 09:28:56.668 +0300,Mai Phai,"Simple Thai dishes & old-world decor. Colorful space with Thai art & gilded statues, serving classic spicy soups, curries & noodle dishes.",,,,"Feuerbachstraße 16, 12163 Berlin, Germany",POINT (13.328954 52.4631502),https://lh5.googleusercontent.com/p/AF1QipOGXubDvhoikTI1EeSkwXCFj16rHsP0CY_55oP_=w732-h552-k-no,Google Places,ChIJfbrN84JaqEcR9Cy_BH_Kr_0,,http://www.maiphai.de/,4.4,645,"'{""Restaurant""}'",Berlin,219,
"9df8c216-10bb-4364-9986-380c3cee58f5",2022-03-28 13:15:50.548 +0300,2022-03-28 09:28:56.668 +0300,Linh Linh,,,,,"Stresemannstraße 105, 10963 Berlin, Germany",POINT (13.379990099999999 52.5060101),https://lh5.googleusercontent.com/p/AF1QipPaRV7JvhrODSNatCfUsIxQZ4Nku4tKpDvjc3DE=w978-h552-k-no,Google Places,ChIJg_ncTMxRqEcRx8f-vvws-i0,,http://linhlinhspezialitaet.de/,4.0,271,"'{""Restaurant""}'",Berlin,219,
"0fe8f196-751d-4dee-889c-56030d006f3a",2022-03-28 13:15:51.025 +0300,2022-03-28 09:28:56.668 +0300,Transit,"Home-style Thai & Indonesian cuisine. Minimalist joint, serving Thai & Indonesian dishes, with white walls & dark wood bench seating.",,,,"Rosenthaler Str. 68, 10119 Berlin, Germany",POINT (13.402291 52.5286559),https://lh5.googleusercontent.com/p/AF1QipMR-0PIG7xf3TF2HUr4BKIjWXJFnb440c656zB7=w732-h552-k-no,Google Places,ChIJAXXAc-RRqEcR0FRvsK29GBo,,http://www.transit-restaurants.com/,4.2,1532,"'{""Restaurant""}'",Berlin,219,
afdccbcd-331c-4e47-9868-052812ad2c26,2022-04-04 01:56:48.687 +0300,2022-04-04 01:22:40.648 +0300,Sushi Goku,"",,,,"Gabriele-Tergit-Promenade 21, 10963 Berlin, Germany",POINT (13.374502 52.5042015),https://lh5.googleusercontent.com/p/AF1QipOkxamy_zIFPGYoJjbXvL__z9MmSnw3DO0bf3b8=w1026-h552-k-no,Google Places,ChIJR2pWVvFRqEcRqLGnLPjT4-o,,http://sushi-goku.de/,4.9,169,"'{""restaurant""}'",Berlin,219,
"120a4b1f-016c-40dc-90ad-7b5e7e3559cb",2022-03-28 13:15:51.418 +0300,2022-03-28 09:28:56.668 +0300,Thai Son Imbiss Berlin,,,,,"Torfstraße 24, 13353 Berlin, Germany",POINT (13.3508581 52.5406607),https://lh5.googleusercontent.com/p/AF1QipMNjPsl9wVj1376m5nBbrUN0kCbP22-tY-KLmGQ=w978-h552-k-no,Google Places,ChIJkWLeZHxRqEcRIvqUrXBKL6A,,https://thaison-imbiss.de/8136?utm_source=google&utm_medium=mybusiness&utm_campaign=gb,3.6,156,"'{""Restaurant""}'",Berlin,219,
e796af28-3488-4e7a-b4dd-90e135d0d6c8,2022-03-28 13:15:51.418 +0300,2022-03-28 09:28:56.668 +0300,Mahanakhon Thai Cuisine,,,,,"Reichsstraße 3, 14052 Berlin, Germany",POINT (13.2706182 52.510782299999995),https://lh5.googleusercontent.com/p/AF1QipPjjGbbpLU74feInMHu-1vdnZilRMwat17wSsxY=w732-h552-k-no,Google Places,ChIJMeLkGdpXqEcR2jDpGlmh394,,https://www.mahanakhon.info/,4.4,122,"'{""Restaurant""}'",Berlin,219,
"2a606fae-ae41-4fe7-9427-a30194425e37",2022-03-28 13:15:51.418 +0300,2022-03-28 09:28:56.668 +0300,MAMMAM Garküche Street Food aus Vietnam und Thailand,,,,,"Krossener Str. 14, 10245 Berlin, Germany",POINT (13.4572687 52.5108251),https://lh5.googleusercontent.com/p/AF1QipPg5Jbv7VMo9fbcpj-wYDHogEbkM7rt2UR8A9-Z=w828-h552-k-no,Google Places,ChIJWzjSMllOqEcR-ZhgBLjItQk,,http://www.mammam-berlin.de/,4.5,475,"'{""Restaurant""}'",Berlin,219,
"49d3c745-a5b6-4632-980a-583d7565c7ad",2022-03-28 13:15:51.418 +0300,2022-03-28 09:28:56.668 +0300,miX.it,,,,,"Alt-Lietzow 7, Arcostraße 1, 10587 Berlin, Germany",POINT (13.307972 52.518412399999995),https://lh5.googleusercontent.com/p/AF1QipPeG0cY45XS8pHCFJpZh7BRZJZ3au9i0Zg-3Xwr=w480-h636-k-no,Google Places,ChIJRW49pCNRqEcRlPdufaDszV4,,https://www.mixit-italianthaifood.de/,4.6,402,"'{""Restaurant""}'",Berlin,219,
"9fa6d1e4-289f-4639-9ef9-278c2077c40d",2022-03-28 13:15:51.418 +0300,2022-03-28 09:28:56.668 +0300,Red Dragon,"Asian fare in a low-key restaurant. Unassuming venture offering Chinese, Thai & Vietnamese classics, with a vegan menu.",,,,"Danziger Str. 29, 10435 Berlin, Germany",POINT (13.417644399999999 52.5404761),https://lh5.googleusercontent.com/p/AF1QipPv6G5lmCVeSEWaTeOpU7UW6MV4R7SuaG63pW-n=w828-h552-k-no,Google Places,ChIJi03_EABOqEcRNt4T6iTkOuE,,http://lieferservice-reddragon.de/,4.1,142,"'{""Restaurant""}'",Berlin,219,
